,tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council_district,census_tract,bin,bbl
185,205970,301269,2015-09-06,6,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,22-012 75 STREET,11370,East Elmhurst,401,4,Queens,22,36,13,QN72,Steinway,4031700,New York,40.7681009,-73.89434096,1013517.292,219134.2868,22.0,317.0,4021852.0,4010060011.0
186,179537,323451,2015-08-27,13,0,OnCurb,Alive,Fair,Acer rubrum,red maple,1or2,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,195-028 37 AVENUE,11358,Flushing,411,4,Queens,19,26,11,QN48,Auburndale,4113900,New York,40.76280482,-73.78633372,1043439.691,217259.2867,19.0,1139.0,4120179.0,4053210025.0
187,196492,210467,2015-09-02,37,0,OffsetFromCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2072 STUART STREET,11229,Brooklyn,318,3,Brooklyn,46,59,22,BK44,Madison,3066600,New York,40.60430523,-73.93644715,1001897.279,159447.4873,46.0,638.0,3248113.0,3088160037.0
188,179476,223106,2015-08-27,9,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,469 7 STREET,11215,Brooklyn,306,3,Brooklyn,39,52,21,BK37,Park Slope-Gowanus,3015300,New York,40.66826409,-73.98079837,989576.7784,182743.6093,39.0,153.0,3021747.0,3009950048.0
189,189590,223272,2015-08-30,24,0,OnCurb,Alive,Fair,Ginkgo biloba,ginkgo,1or2,None,Damage,Volunteer,"Stones,RootOther",Yes,No,Yes,No,No,No,No,No,No,19 FISKE PLACE,11215,Brooklyn,306,3,Brooklyn,39,52,21,BK37,Park Slope-Gowanus,3015700,New York,40.67201868,-73.97503084,991176.3739,184111.9166,39.0,157.0,3024922.0,3010710002.0
190,191351,347976,2015-08-31,3,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,3or4,None,NoDamage,Volunteer,BranchLights,No,No,No,No,No,No,Yes,No,No,89-021 69 ROAD,11375,Forest Hills,406,4,Queens,29,28,15,QN17,Forest Hills,4072900,New York,40.71171868,-73.85446422,1024597.169,198608.3236,29.0,729.0,4076659.0,4032060010.0
191,208767,107164,2015-09-08,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Harmful,Damage,Volunteer,RootOther,No,No,Yes,No,No,No,No,No,No,317 EAST 64 STREET,10065,New York,108,1,Manhattan,5,76,28,MN31,Lenox Hill-Roosevelt Island,1011000,New York,40.76332189,-73.96121439,994994.2908,217377.8619,5.0,118.0,1044692.0,1014390009.0
192,205734,111960,2015-09-06,10,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,2 RIVERSIDE DRIVE,10023,New York,107,1,Manhattan,6,67,31,MN12,Upper West Side,1016300,New York,40.78061205,-73.98564087,988226.6981,223675.1948,6.0,159.0,1030982.0,1011840002.0
193,201486,338001,2015-09-04,13,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,231 BEACH 131 STREET,11694,Rockaway Park,414,4,Queens,32,23,15,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4092800,New York,40.57619607,-73.85018599,1025867.674,149235.7974,32.0,928.0,4305836.0,4162650026.0
194,203326,340820,2015-09-04,10,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,35-056 79 STREET,11372,Jackson Heights,403,4,Queens,25,39,13,QN28,Jackson Heights,4028500,New York,40.74996589,-73.88713449,1015521.978,212529.6071,25.0,285.0,4029653.0,4012780032.0
