,clientid,resp,qrep,qkey,qcell,sc1,sc2,sc3,sc4,sc4b,sc4d,sc4d1,sc6,sc6a,sc7,mp1,ph1,bc1a,bc1,bc2,bc3,pph1,el1,el3,el4,el7,el8,el9,el10,el11,el12_1,el12mns,el13a,el13b,el13c,el13d,el13e,el14,el15,el17a,el17b,el17c,el17d,el17e,el17f,cp1,ih1,ih2,ih3,ih5,bf1_1,bf1wks,bf1a_1,bf2,mh1,mh2,mh4,cc1,sd2,d1,d1yob,d2,fixd2,d3,d4_1,d5,d6,d7,st1,st2,st3,st4,st5,es1a,es1b,es2,es3,es4,fulladra,qc1,lang,samp_weight,pop_weight,stratum,odate,fdate,el12wks,cp2,cp3,cp4,cp5,cp6a,cp6b,cp6c,cp7,cp8,cp9,cp10_1,cp10wks,bf1mns,d4_2,de1,de2_1,de3,bf1amns,el16,sd1_1,sd1mns,pph2a,pph2b,pph2c,ih5a_1,bf1awks,mh3,sd1wks,cp10mns,ih4_1,mh3a,de2_2,sc4b1,sc4b2,selchild,de2_3,ih4_2,ih4_3,ih5a_2
0,3,953,16,200003,1,1,1.0,2.0,1,1,1,1,1,2,1,0,2,7,1,1,3,1,1,2.0,1.0,2.0,1.0,1.0,25.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2,2,1,1,2,3,2.0,1.0,1.0,5,2,2,2.0,3.0,1,1983.0,1,11235.0,2,1,67,3.0,5,4,4,4,4,4,4,4,2,77,2,1.0,1,1,0.710955213454301,72.47061440174436,1,18-Mar-16,18-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,15,1,200009,1,1,1.0,2.0,1,1,1,2,1,2,1,1,2,2,1,2,3,1,1,2.0,1.0,2.0,1.0,1.0,50.0,3.0,2.0,,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,2,1,1,2,4,,1.0,7.0,5,2,3,1.0,1.0,99,,1,10013.0,2,3,1,,6,4,4,4,4,4,4,4,2,12,4,,1,1,1.3530603116901234,137.92305092520698,1,24-Feb-16,26-Feb-16,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,50.0,3.0,2.0,2.0,6.0,4.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,10,246,6,200010,1,1,1.0,2.0,1,1,1,1,1,2,1,2,3,9,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,5,,3.0,,3,2,2,,,1,1995.0,99,10454.0,1,8,56,2.0,3,4,4,4,4,4,4,4,2,1,3,,2,2,1.7581890552032065,179.21950448315957,2,26-Feb-16,26-Feb-16,,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,32.0,4.0,,,,,1.0,8.0,56.0,7.0,,,,,,,,,,,,,,,,,,,,,
3,16,659,11,200016,1,1,1.0,2.0,1,1,1,1,1,2,1,1,1,10,1,2,4,1,1,1.0,1.0,2.0,1.0,1.0,25.0,1.0,2.0,,0.0,0.0,1.0,0.0,0.0,2.0,2.0,,,,,,,2,1,1,1,2,4,,3.0,5.0,5,2,1,,,1,1992.0,1,11203.0,2,2,1,,4,1,1,2,4,4,2,2,2,1,3,1.0,2,1,2.4057503488948324,245.2281136452008,2,9-Mar-16,13-Mar-16,1.0,,,,,,,,,,,,,2.0,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,
4,28,861,17,200028,1,1,1.0,2.0,1,1,1,1,1,2,1,1,4,7,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,3,1,1,2,4,,3.0,1.0,4,2,3,,,1,1985.0,1,11368.0,1,1,28,3.0,2,4,4,4,4,4,2,4,1,77,2,1.0,2,2,1.0839257210141282,110.48904555616828,2,16-Mar-16,16-Mar-16,,,,,,,,,,,,,,18.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
5,31,916,9,200031,1,1,1.0,2.0,1,1,1,1,1,2,1,0,2,6,1,1,4,1,1,2.0,1.0,1.0,77.0,2.0,25.0,1.0,3.0,1.0,3.0,77.0,6.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1,1,1,2,4,,3.0,2.0,5,2,3,1.0,1.0,1,1990.0,1,11211.0,2,1,1,,4,4,4,4,4,4,4,4,2,2,2,1.0,2,1,0.5313322294183933,54.16089844859776,1,17-Mar-16,17-Mar-16,,,,,,,,,,,,,,12.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
6,32,391,9,200032,1,1,1.0,2.0,1,1,2,1,1,2,1,2,1,6,1,1,2,1,1,3.0,1.0,1.0,77.0,2.0,50.0,2.0,3.0,3.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,2,1,1,2,4,,3.0,5.0,5,2,1,5.0,1.0,1,1977.0,1,10025.0,2,1,1,,6,4,4,4,2,2,4,4,2,99,5,1.0,1,1,0.7934138949575522,80.87596989842007,1,1-Mar-16,1-Mar-16,,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,60.0,4.0,,,10.0,,2.0,1.0,67.0,10.0,,,,,,,,,,,,,,,,,,,,,
7,34,582,12,200034,1,1,1.0,2.0,1,1,1,2,1,2,1,0,1,3,1,2,3,1,1,2.0,1.0,1.0,77.0,1.0,40.0,1.0,2.0,,1.0,8.0,8.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1,1,1,2,4,,3.0,4.0,5,2,1,2.0,1.0,1,1980.0,1,11358.0,2,3,21,3.0,6,4,4,4,4,4,4,4,2,12,4,1.0,2,1,1.167245406416207,118.9821667522432,1,8-Mar-16,8-Mar-16,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,40.0,1.0,2.0,4.0,1.0,,2.0,3.0,21.0,5.0,,,,,,,,,,,,,,,,,,,,,
8,39,1015,19,200039,1,1,1.0,2.0,1,1,1,2,1,2,1,0,3,2,1,2,3,1,1,1.0,1.0,1.0,3.0,1.0,50.0,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2,2,1,1,2,4,,3.0,5.0,5,2,3,2.0,1.0,1,1983.0,1,10032.0,1,3,1,,6,4,4,4,4,1,4,4,2,9,4,1.0,2,1,0.45522605641859215,46.403080497923774,1,18-Mar-16,18-Mar-16,11.0,,,,,,,,,,,,,5.0,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,
9,46,497,6,200046,1,1,1.0,2.0,1,1,1,1,1,2,1,1,1,11,1,1,2,1,1,2.0,1.0,2.0,2.0,2.0,40.0,4.0,,,,,,,,,2.0,,,,,,,1,3,1,1,2,4,,3.0,1.0,5,2,3,,,1,1981.0,1,11421.0,1,1,1,,6,4,99,4,1,3,3,4,1,1,3,1.0,2,2,1.6958503851293476,172.86506522208427,2,5-Mar-16,5-Mar-16,,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,,,,2.0,,1.0,1.0,28.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,
10,61,140,8,200061,0,1,,,1,1,2,2,1,1,1,2,3,6,1,1,2,1,1,1.0,1.0,1.0,8.0,1.0,40.0,3.0,3.0,7.0,0.0,6.0,77.0,77.0,77.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1,3,1,1,2,4,,3.0,3.0,5,2,3,6.0,1.0,1,1976.0,1,10025.0,2,1,67,3.0,6,4,4,4,4,4,4,4,2,12,5,1.0,2,1,0.9396575253447523,95.78318985536781,1,25-Feb-16,25-Feb-16,,1.0,1.0,1.0,1.0,3.0,5.0,4.0,1.0,50.0,4.0,,,12.0,,2.0,1.0,1.0,5.0,,2.0,7.0,,,,,,,,,,,,,,,,,,
11,62,1299,22,200062,1,1,1.0,2.0,1,1,2,1,1,2,1,1,3,5,1,1,2,1,1,2.0,1.0,2.0,9.0,1.0,40.0,1.0,2.0,,4.0,0.0,6.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,1,2,1,,,,4,2,3,2.0,1.0,1,1980.0,1,11418.0,2,2,76,3.0,4,4,4,4,4,4,4,4,2,12,4,1.0,2,1,1.4922009356739243,152.10623197166865,1,23-Mar-16,23-Mar-16,6.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,35.0,1.0,2.0,1.0,,,2.0,2.0,76.0,,,,,,,,,,,,,,,,,,,,,,
12,65,1044,16,200065,1,1,1.0,2.0,1,1,1,2,1,1,1,2,3,2,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,4,,3.0,1.0,77,2,3,,,1,1980.0,1,11369.0,2,1,2,1.0,4,4,4,4,4,4,4,4,2,3,5,1.0,1,1,2.2000488472784743,224.26010620480372,2,19-Mar-16,19-Mar-16,,1.0,1.0,1.0,3.0,3.0,3.0,6.0,1.0,777.0,,,,3.0,,2.0,1.0,2.0,5.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,
13,67,722,12,200067,1,1,1.0,2.0,1,1,1,2,1,2,1,0,1,3,2,2,3,1,1,2.0,1.0,1.0,9.0,1.0,40.0,2.0,3.0,6.0,,,,,,2.0,2.0,,,,,,,1,1,1,1,2,4,,3.0,3.0,5,2,1,,,1,1981.0,1,10801.0,2,2,31,3.0,6,4,4,4,4,4,4,4,2,12,4,1.0,2,1,0.48775586248962544,49.71897858506664,1,10-Mar-16,10-Mar-16,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,40.0,1.0,2.0,4.0,6.0,,2.0,2.0,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,
14,70,782,15,200070,1,1,1.0,2.0,1,1,2,2,1,2,1,1,2,9,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,,,,3,2,2,,,1,1986.0,1,11385.0,1,1,1,,5,4,4,4,4,4,4,4,2,10,4,1.0,2,1,1.5671554290518293,159.74665444058326,2,13-Mar-16,13-Mar-16,,1.0,1.0,1.0,3.0,4.0,1.0,4.0,1.0,40.0,3.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
15,77,90,5,200077,1,1,1.0,2.0,1,1,1,2,1,2,1,2,4,3,1,1,5,1,1,2.0,1.0,1.0,6.0,1.0,57.0,2.0,3.0,3.0,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2,4,1,1,2,4,,1.0,5.0,3,2,4,5.0,2.0,1,1972.0,1,10452.0,1,8,26,3.0,5,4,4,2,4,3,3,4,1,1,3,1.0,1,2,0.8083153082320548,82.3949327740287,1,25-Feb-16,25-Feb-16,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,85,1340,25,200085,1,1,1.0,2.0,1,1,1,2,1,2,1,1,1,8,1,1,2,1,1,2.0,1.0,1.0,4.0,1.0,25.0,1.0,2.0,,0.0,12.0,12.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,1,2,1,,,,5,2,2,3.0,1.0,1,1985.0,1,10474.0,2,2,2,3.0,4,4,4,4,4,4,1,1,1,2,3,1.0,2,1,0.6937312433891076,70.714903677018,1,24-Mar-16,24-Mar-16,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,666.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
17,91,1353,25,200091,1,1,1.0,2.0,1,1,1,1,1,2,1,0,1,2,1,2,3,1,1,4.0,1.0,2.0,1.0,1.0,50.0,2.0,3.0,3.0,,,,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1,1,1,1,2,4,,3.0,3.0,5,2,1,5.0,1.0,1,1980.0,1,10021.0,2,3,17,3.0,6,4,4,4,4,4,4,4,2,12,3,,2,1,1.217399590356335,124.09459079271028,1,25-Mar-16,25-Mar-16,,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,50.0,2.0,2.0,1.0,12.0,,2.0,3.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,
18,93,1136,21,200093,1,1,1.0,2.0,1,1,1,2,1,2,1,0,2,4,1,1,3,1,1,2.0,1.0,1.0,9.0,1.0,55.0,1.0,2.0,,12.0,6.0,12.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1,1,1,2,4,,3.0,3.0,5,2,3,6.0,1.0,99,,1,80111.0,2,1,1,,6,4,4,4,2,4,4,4,2,12,3,,2,1,0.7209580353731216,73.4902435379962,1,21-Mar-16,21-Mar-16,12.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,65.0,1.0,2.0,2.0,8.0,,2.0,1.0,1.0,6.0,,2.0,3.0,,,,,,,,,,,,,,,,,,
19,102,1348,25,200102,1,1,1.0,2.0,1,1,2,1,1,2,1,0,3,12,1,1,3,1,1,2.0,1.0,1.0,7.0,1.0,40.0,2.0,3.0,3.0,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,77.0,77.0,1,1,1,1,1,4,,3.0,3.0,5,2,4,2.0,1.0,99,,1,11001.0,1,1,99,3.0,5,4,1,4,2,2,2,2,1,5,3,,1,1,0.455621915241301,46.44343202999662,1,24-Mar-16,24-Mar-16,,1.0,1.0,1.0,4.0,3.0,6.0,6.0,1.0,25.0,4.0,,,12.0,,1.0,1.0,99.0,5.0,,,,,,,1.0,,,,,,,,,,,,,,
20,120,240,5,200120,1,1,1.0,2.0,1,1,1,1,1,2,1,1,1,3,1,2,3,1,77,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,4,,2.0,5.0,5,2,1,,,1,1990.0,1,10454.0,1,99,82,3.0,5,4,4,4,4,2,3,4,1,1,3,1.0,1,2,1.1766528679498112,119.94110833449646,2,26-Feb-16,5-Mar-16,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,777.0,,,,4.0,,1.0,8.0,26.0,,,,,,,,,6.0,,,,,,,,,,,,,
21,126,936,9,200126,1,1,1.0,2.0,1,1,1,2,1,2,1,1,1,4,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,4,,3.0,7.0,1,1,3,,,1,1975.0,1,11366.0,2,3,21,1.0,6,4,4,4,2,4,4,4,2,3,4,1.0,2,1,3.653037328316086,372.36924999719463,2,17-Mar-16,17-Mar-16,,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,40.0,2.0,2.0,2.0,3.0,,2.0,3.0,21.0,6.0,,,,,,,,,2.0,,,,,,,,,,,,
22,127,954,16,200127,1,1,1.0,2.0,1,1,1,1,1,2,1,1,3,11,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,4,,3.0,1.0,3,2,3,,,1,1976.0,1,10467.0,2,2,1,,5,4,4,4,4,3,3,4,2,11,4,1.0,2,1,1.7667735563176044,180.09455829571996,2,18-Mar-16,18-Mar-16,,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,64.0,4.0,,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
23,128,877,18,200128,0,1,,,1,1,1,1,1,2,1,0,1,8,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,4,,3.0,1.0,3,2,1,,,1,1993.0,1,10314.0,2,1,2,1.0,4,4,4,4,3,4,4,4,1,2,4,1.0,2,1,1.6795425850814831,171.20274350808012,2,16-Mar-16,16-Mar-16,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,777.0,,,,3.0,,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,
24,138,1476,24,200138,1,1,1.0,2.0,1,1,1,1,1,2,1,0,3,5,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,4,,3.0,7.0,5,2,4,,,1,1991.0,1,11412.0,2,2,1,,5,4,1,4,4,4,3,1,1,1,3,1.0,2,1,1.5926602974508988,162.34647148691403,2,29-Mar-16,29-Mar-16,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,777.0,,,,1.0,,2.0,2.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,
25,144,824,13,200144,1,1,1.0,2.0,1,1,1,2,1,2,1,0,1,4,1,1,2,1,1,2.0,1.0,1.0,9.0,1.0,50.0,1.0,2.0,,12.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1,1,1,1,2,4,,3.0,5.0,5,2,1,6.0,1.0,1,1980.0,1,11215.0,2,1,67,3.0,6,4,4,4,4,4,4,4,2,12,3,1.0,1,1,0.8537546427693277,87.02675265466911,1,15-Mar-16,15-Mar-16,12.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,50.0,1.0,2.0,2.0,15.0,,2.0,1.0,2.0,6.0,,2.0,3.0,,,,,,,,,,,,,,,,,,
26,147,1043,19,200147,1,1,1.0,2.0,1,1,2,1,1,2,1,1,1,5,1,1,2,1,1,2.0,1.0,2.0,9.0,1.0,40.0,2.0,2.0,,,,,,,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2,2,1,1,2,1,,,,3,2,3,6.0,1.0,1,1976.0,1,7305.0,2,2,1,,5,4,4,4,4,4,3,3,2,3,3,1.0,2,1,0.7575463891754728,77.21984623282928,1,19-Mar-16,21-Mar-16,5.0,,,,,,,,,,,,,,,,,,,,2.0,11.0,,,,,,,,,,,,,,,,,,
27,148,298,5,200148,1,1,1.0,2.0,1,1,1,1,1,2,1,0,1,2,2,2,3,1,1,1.0,1.0,1.0,9.0,1.0,60.0,1.0,2.0,,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,77.0,1,1,1,1,2,4,,1.0,3.0,5,2,1,5.0,1.0,1,1979.0,1,10029.0,2,2,1,,6,4,4,4,4,4,4,4,2,12,4,1.0,2,1,0.27560724777380735,28.093790159716526,1,28-Feb-16,28-Feb-16,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,4.0,,,12.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
28,156,755,11,200156,1,1,1.0,2.0,1,1,2,2,1,2,1,0,3,7,1,2,3,1,1,1.0,1.0,1.0,9.0,1.0,40.0,1.0,2.0,,7.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1,1,1,1,2,4,,1.0,7.0,5,2,1,6.0,1.0,1,1983.0,1,11530.0,2,1,1,,6,4,4,4,4,4,4,4,2,99,3,,2,1,0.7209580353731216,73.4902435379962,1,12-Mar-16,12-Mar-16,15.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,50.0,4.0,,,10.0,,2.0,1.0,1.0,,,1.0,,,,,,,,16.0,,,,,,,,,,,
29,159,480,8,200159,1,1,1.0,2.0,1,1,1,1,1,2,1,0,3,11,1,2,4,1,1,2.0,1.0,2.0,3.0,1.0,40.0,3.0,3.0,3.0,1.0,2.0,0.0,8.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1,3,1,1,2,2,,2.0,4.0,4,2,3,1.0,1.0,99,,1,11232.0,2,3,99,,6,4,4,4,4,4,4,4,2,99,3,1.0,2,1,1.225093156783934,124.87882793648161,1,4-Mar-16,4-Mar-16,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,20.0,2.0,3.0,,,,2.0,3.0,99.0,,,,,,,,,2.0,,,3.0,,,,,,,,,,
30,171,679,13,200171,1,1,1.0,2.0,1,1,1,1,1,2,1,0,2,10,1,1,2,1,1,1.0,1.0,1.0,9.0,1.0,20.0,3.0,2.0,,0.0,6.0,6.0,6.0,6.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1,2,1,1,2,4,,3.0,3.0,5,2,2,3.0,1.0,1,1991.0,1,11236.0,2,4,50,2.0,6,4,4,4,4,4,4,4,2,1,3,1.0,1,1,0.45009193797288183,45.87973850516424,1,9-Mar-16,9-Mar-16,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,2.0,2.0,12.0,,2.0,4.0,50.0,6.0,,,,,,,,,,,,,,,,,,,,,
31,173,310,6,200173,1,1,1.0,2.0,1,1,1,1,1,2,1,1,2,4,1,1,6,1,2,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,2,4,,3.0,5.0,5,2,3,,,1,1987.0,1,11212.0,2,2,1,,5,4,4,4,4,4,4,4,2,10,4,1.0,2,1,1.5600496151794796,159.0223293531399,2,28-Feb-16,28-Feb-16,,1.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,45.0,1.0,1.0,,13.0,,2.0,2.0,50.0,5.0,,,,,,,,,,,,6.0,,,,,,,,,
32,185,316,3,200185,1,1,1.0,2.0,1,1,1,1,1,2,1,0,1,4,1,1,2,1,1,3.0,1.0,2.0,3.0,2.0,35.0,3.0,2.0,,2.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1,1,1,1,2,1,,,,5,2,3,2.0,1.0,1,1987.0,1,11213.0,2,2,1,,6,4,4,4,4,2,4,4,2,12,3,1.0,2,1,0.8025653601935056,81.80881671601834,1,28-Feb-16,28-Feb-16,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,40.0,1.0,2.0,1.0,,,1.0,2.0,61.0,,,,,,,,,,,,,,,,,,,,,,
33,188,1207,22,200188,1,1,1.0,2.0,1,1,1,2,1,2,1,1,2,6,1,1,2,1,1,4.0,1.0,2.0,1.0,1.0,30.0,3.0,3.0,4.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1,1,1,1,2,4,,3.0,7.0,5,2,2,1.0,1.0,1,1988.0,1,10310.0,1,8,22,3.0,3,4,4,4,4,4,2,4,2,6,4,1.0,2,1,0.6129002694616416,62.475467166308206,1,22-Mar-16,22-Mar-16,,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,40.0,4.0,,,3.0,,1.0,8.0,28.0,6.0,,,,,,,,,,,,,,,,,,,,,
34,189,1064,20,200189,1,1,1.0,2.0,1,1,2,2,1,2,1,0,1,7,1,1,2,1,1,2.0,1.0,2.0,6.0,2.0,20.0,4.0,,,,,,,,,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1,1,1,2,4,,3.0,7.0,5,2,1,5.0,1.0,1,1990.0,1,11230.0,2,1,1,,6,4,4,4,4,4,3,4,2,7,4,1.0,2,1,0.5402911802795658,55.07412147730257,1,20-Mar-16,23-Mar-16,,1.0,1.0,1.0,3.0,6.0,6.0,6.0,1.0,75.0,4.0,,,13.0,,2.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,
35,190,1360,24,200190,1,1,1.0,2.0,1,1,1,2,1,1,1,0,1,10,1,1,2,1,1,1.0,1.0,2.0,9.0,2.0,8.0,2.0,2.0,,,,,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1,1,1,2,2,4,,2.0,1.0,5,2,2,1.0,1.0,99,,1,11230.0,2,1,1,,6,4,4,4,2,3,4,4,2,99,3,1.0,1,1,0.5402911802795658,55.07412147730257,1,25-Mar-16,25-Mar-16,2.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,2.0,666.0,,,,7.0,,2.0,1.0,1.0,,,,,,,,,1.0,,,,6.0,,,,,,,,,
36,210,24,2,200210,0,1,,,1,1,1,1,1,2,1,6,1,6,1,1,2,1,1,4.0,1.0,2.0,8.0,2.0,20.0,1.0,3.0,2.0,6.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,2,1,1,2,4,,3.0,7.0,4,2,2,6.0,1.0,1,1980.0,1,10970.0,2,1,1,,6,4,4,4,4,4,4,4,2,11,9,1.0,2,1,0.5814438289564207,59.26898168429154,1,24-Feb-16,24-Feb-16,,1.0,1.0,1.0,2.0,3.0,5.0,3.0,1.0,30.0,4.0,,,18.0,,2.0,1.0,1.0,12.0,,2.0,18.0,,,,,,,,,,,,,,,,,,
37,218,1173,22,200218,1,1,1.0,2.0,1,1,1,2,1,2,1,1,2,2,1,2,3,1,1,2.0,1.0,1.0,9.0,1.0,27.0,2.0,77.0,,,,,,,,2.0,,,,,,,1,2,2,1,2,4,,3.0,3.0,3,2,4,,,1,1980.0,1,10462.0,1,99,1,,5,4,4,4,1,4,1,4,2,12,4,,2,1,0.8855193879462634,90.2646649109175,1,22-Mar-16,22-Mar-16,,1.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,50.0,4.0,,,6.0,,1.0,99.0,1.0,5.0,2.0,,,,,,,,,,,1.0,,,,,,,,,
38,2854,1018,20,202854,0,1,,,1,1,2,2,1,2,1,3,5,8,2,2,5,1,2,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,2,1,,,,4,1,5,,,1,1988.0,1,10472.0,2,2,1,,3,4,4,4,4,4,3,4,2,1,3,1.0,2,1,2.2101989349785804,225.29474675309416,2,18-Mar-16,18-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
39,219,1376,24,200219,1,1,1.0,2.0,1,1,1,1,1,2,1,0,2,12,1,2,3,1,1,2.0,1.0,2.0,5.0,1.0,37.0,2.0,3.0,4.0,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1,1,1,1,2,3,6.0,3.0,1.0,5,2,3,5.0,1.0,1,1981.0,1,10023.0,2,1,1,,6,4,4,4,2,4,4,4,2,77,3,,2,1,1.230536127689724,125.43365254181349,1,25-Mar-16,25-Mar-16,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,45.0,2.0,3.0,,,,1.0,8.0,20.0,6.0,,,,,,,,,,,1.0,,,,,,,,,,
40,221,965,16,200221,1,1,1.0,2.0,1,1,1,2,1,2,1,0,2,7,1,1,2,1,1,2.0,1.0,1.0,9.0,1.0,40.0,1.0,2.0,,6.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1,1,1,1,2,4,,1.0,3.0,5,2,2,5.0,1.0,1,1980.0,1,10009.0,2,1,1,,6,4,4,4,4,4,4,4,2,12,3,1.0,2,1,0.7209580353731216,73.4902435379962,1,18-Mar-16,18-Mar-16,12.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,40.0,1.0,2.0,1.0,16.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
41,295,991,19,200295,1,1,1.0,2.0,1,1,1,2,1,2,1,0,3,2,1,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,4,,3.0,7.0,5,2,3,,,1,1985.0,1,10471.0,1,8,26,2.0,5,4,4,4,4,4,4,4,2,12,4,1.0,2,1,1.0736236532485028,109.43891304928952,2,18-Mar-16,18-Mar-16,,,,,,,,,,,,,,18.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
42,223,1497,25,200223,1,1,1.0,2.0,1,1,1,2,1,2,1,0,3,9,1,1,2,1,1,1.0,1.0,1.0,77.0,1.0,30.0,3.0,3.0,3.0,0.0,3.0,6.0,77.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1,1,1,1,2,4,,3.0,5.0,4,2,4,2.0,1.0,1,1991.0,1,10453.0,2,2,1,,4,4,1,4,3,4,4,4,2,1,2,1.0,2,1,0.8346034797408582,85.07459515597407,1,29-Mar-16,29-Mar-16,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,35.0,4.0,,,1.0,,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
