,clientid,resp,qrep,qkey,qcell,sc1,sc2,sc3,sc4,sc4b,sc4d,sc4d1,sc6,sc6a,sc7,mp1,ph1,bc1a,bc1,bc2,bc3,pph1,el1,el3,el4,el7,el8,el9,el10,el11,el12_1,el12mns,el13a,el13b,el13c,el13d,el13e,el14,el15,el17a,el17b,el17c,el17d,el17e,el17f,cp1,ih1,ih2,ih3,ih5,bf1_1,bf1wks,bf1a_1,bf2,mh1,mh2,mh4,cc1,sd2,d1,d1yob,d2,fixd2,d3,d4_1,d5,d6,d7,st1,st2,st3,st4,st5,es1a,es1b,es2,es3,es4,fulladra,qc1,lang,samp_weight,pop_weight,stratum,odate,fdate,el12wks,cp2,cp3,cp4,cp5,cp6a,cp6b,cp6c,cp7,cp8,cp9,cp10_1,cp10wks,bf1mns,d4_2,de1,de2_1,de3,bf1amns,el16,sd1_1,sd1mns,pph2a,pph2b,pph2c,ih5a_1,bf1awks,mh3,sd1wks,cp10mns,ih4_1,mh3a,de2_2,sc4b1,sc4b2,selchild,de2_3,ih4_2,ih4_3,ih5a_2
314,1718,819,12,201718,1,1,1.0,2.0,1,1,2,1,1,1,1,1,3,2,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,4,,3.0,1.0,77,2,77,,,1,1983.0,1,7036.0,2,1,79,1.0,3,4,4,4,77,3,3,3,1,1,77,1.0,2,1,1.6795425850814831,171.20274350808012,2,15-Mar-16,15-Mar-16,,1.0,1.0,2.0,1.0,1.0,4.0,77.0,77.0,777.0,,,,1.0,,2.0,1.0,67.0,6.0,,,,1.0,1.0,2.0,,,,,,6.0,,,,,,,,,
315,1722,726,13,201722,1,1,1.0,2.0,1,1,1,2,1,2,1,0,2,10,1,2,3,1,1,2.0,1.0,1.0,9.0,1.0,40.0,3.0,2.0,,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1,1,1,1,2,3,12.0,3.0,5.0,5,2,2,6.0,1.0,1,1982.0,1,11369.0,2,2,1,,6,4,4,4,4,4,4,4,2,12,3,1.0,2,1,0.6287488999473835,64.09098382191787,1,11-Mar-16,11-Mar-16,8.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,40.0,1.0,2.0,2.0,,,2.0,2.0,1.0,6.0,,2.0,4.0,,,,,,,,,,,,,,,,,,
316,1725,591,13,201725,1,1,1.0,2.0,1,1,1,1,1,2,1,1,2,3,1,1,2,1,1,1.0,1.0,1.0,9.0,2.0,40.0,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,1,1,1,2,4,,3.0,5.0,3,2,2,1.0,1.0,1,1977.0,1,11372.0,2,1,79,3.0,6,4,4,4,4,4,4,4,2,12,4,1.0,2,1,0.5788605352400658,59.005655838638354,1,8-Mar-16,8-Mar-16,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,4.0,,,5.0,,1.0,8.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,
317,1726,935,7,201726,1,1,1.0,2.0,1,1,2,1,1,2,1,1,1,4,1,1,4,1,1,2.0,1.0,2.0,77.0,1.0,20.0,2.0,3.0,3.0,,,,,,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1,5,1,1,2,4,,3.0,3.0,5,2,3,5.0,2.0,99,,1,11219.0,2,1,1,,4,4,4,4,4,4,4,4,2,2,4,1.0,2,1,0.45703640112541266,46.587616444351085,1,17-Mar-16,17-Mar-16,,1.0,1.0,1.0,3.0,5.0,5.0,3.0,1.0,777.0,,,,20.0,,2.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,
318,1735,1048,18,201735,1,1,1.0,2.0,1,1,1,2,1,2,1,0,2,12,1,1,2,1,1,1.0,77.0,1.0,77.0,1.0,40.0,4.0,,,,,,,,,2.0,,,,,,,1,3,1,1,2,4,,1.0,1.0,5,2,2,,,1,1990.0,1,11214.0,2,1,2,1.0,6,4,4,4,4,4,2,77,2,9,3,1.0,1,1,0.5488135605950633,55.94284305911446,1,20-Mar-16,20-Mar-16,,1.0,1.0,1.0,2.0,5.0,5.0,3.0,1.0,30.0,4.0,,,4.0,,2.0,1.0,2.0,,7.0,,,,,,,,,,,,,,,,,,,,
319,1739,906,18,201739,1,1,1.0,2.0,1,1,1,2,1,2,1,1,2,12,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,4,,3.0,7.0,5,2,1,,,1,1995.0,1,11208.0,1,8,26,2.0,3,4,4,4,4,4,4,4,2,6,4,,2,1,1.18104108790436,120.38841779959063,2,17-Mar-16,17-Mar-16,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,40.0,2.0,1.0,,3.0,,1.0,8.0,26.0,4.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,
320,1744,1008,18,201744,1,1,1.0,2.0,1,1,1,1,1,2,1,0,1,11,1,2,3,1,1,2.0,1.0,1.0,7.0,1.0,4.0,3.0,2.0,,1.0,2.0,8.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1,1,1,1,2,4,,3.0,5.0,3,2,3,1.0,1.0,1,1984.0,1,30253.0,1,2,1,,5,4,2,4,2,4,4,4,2,9,3,1.0,2,1,0.43818954806102073,44.66647852276572,1,18-Mar-16,18-Mar-16,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,3.0,2.0,2.0,9.0,,1.0,2.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,
321,1746,38,3,201746,1,1,1.0,2.0,1,1,2,1,1,1,1,0,1,2,1,1,2,1,1,2.0,1.0,1.0,9.0,1.0,40.0,3.0,3.0,6.0,3.0,77.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2,1,1,1,2,4,,3.0,3.0,3,2,1,5.0,2.0,1,1980.0,1,10021.0,2,1,2,3.0,6,4,4,2,2,4,4,4,2,12,3,,2,1,0.8537546427693277,87.02675265466911,1,24-Feb-16,24-Feb-16,,,,,,,,,,,,,,12.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
322,1766,595,13,201766,1,1,1.0,2.0,1,1,1,1,1,2,1,0,1,6,1,2,2,1,1,4.0,1.0,2.0,1.0,1.0,30.0,4.0,,,,,,,,,2.0,,,,,,,1,1,1,1,2,4,,3.0,7.0,5,2,1,,,1,1991.0,1,11368.0,1,1,28,2.0,77,4,4,4,4,4,4,1,2,6,4,1.0,1,2,0.7664604551406787,78.1284939578771,2,8-Mar-16,8-Mar-16,,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,40.0,1.0,2.0,2.0,6.0,,1.0,1.0,28.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
323,1767,1135,21,201767,1,1,1.0,2.0,1,1,1,2,1,2,1,0,2,3,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,4,,3.0,7.0,5,2,1,,,1,1986.0,1,98115.0,2,1,1,,6,4,4,4,4,4,4,4,2,12,3,1.0,2,1,1.9051914753329984,194.20407102651208,2,21-Mar-16,21-Mar-16,,1.0,1.0,1.0,3.0,2.0,6.0,3.0,1.0,60.0,4.0,,,24.0,,2.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,
